tweet,mentioned,hashtags,clean_tweet,Tweet length
"@AjayTamtaBJP Indian Army, Navy, IAF all set to express gratitude to corona-warriors today!
Jai Hind!

#IndiaFightsCorona
#IndiaSalutesCoronaWarriors 
#IndianArmy https://t.co/Gy0ZViQsAW",['@AjayTamtaBJP'],"['#IndiaFightsCorona', '#IndiaSalutesCoronaWarriors', '#IndianArmy']",indian army navy iaf set express gratitude corona warriors today jai hind,73
"@ManojTiwariMP @DCPDwarka @DelhiPolice Great job by Dwarka District Police 
#COVID19Lockdown #COVID19India #Dwarka #Police","['@ManojTiwariMP', '@DCPDwarka', '@DelhiPolice']","['#COVID19Lockdown', '#COVID19India', '#Dwarka', '#Police']",great job dwarka district police,32
"It's said that a good laugh can heal many problems! Be the reason for your family's smile today. #WorldLaughterDay

#LaughterDay #worldlaughterday2020 #worldlaughterday #Happiness #FightAgainstCorona #StayHomeStaySafe #beingbhaskar #shailbhaskar #STAYHOME #STAYSAFE https://t.co/NyUrowvNSc",[],"['#WorldLaughterDay', '#LaughterDay', '#worldlaughterday2020', '#worldlaughterday', '#Happiness', '#FightAgainstCorona', '#StayHomeStaySafe', '#beingbhaskar', '#shailbhaskar', '#STAYHOME', '#STAYSAFE']",said good laugh heal many problems reason family smile today,60
"Thread by @ShamikaRavi: #DailyUpdate #Covid19India As d total Confirmed cases continue to grow, d Active cases are now growing at 5% - so every 14 days. Confirmed cases growing at 5.9%, so doubling every 12 days. The CGDR = 12.06% Total confirmed case… https://t.co/a7BUls0YbJ",['@ShamikaRavi'],"['#DailyUpdate', '#Covid19India']",thread total confirmed cases continue grow active cases growing every days confirmed cases growing doubling every days cgdr total confirmed case,144
This is what the #twin kiddos are up to in these #lockdown times. #mehernsehar #lockdown2020 @ Greater Noida https://t.co/17dNnhfsuW,[],"['#twin', '#lockdown', '#mehernsehar', '#lockdown2020']",kiddos times greater noida,26
"India crossed *One million* RT-PCR tests--a great achievement in #lockdown period
@ICMRDELHI ramped up testing to more than 75,000 samples/day
*Now 419 labs testing for #Corona
*14 mentor institutions like AIIMS, PGIChandigarh carrying out tests
*24x7 working
A Great Team effort https://t.co/rwodLVqxMz",['@ICMRDELHI'],"['#lockdown', '#Corona']",india crossed one million rt pcr tests great achievement period ramped testing samples day labs testing mentor institutions like aiims pgichandigarh carrying tests x working great team effort,191
"Traveling in the times of global pandemic is a curse and a blessing.

.
.
.
.
.
.
.
.
.
.
#OyeDelhi #gurgaon #noida #delhincr #india #corona #coronawarriors #instagram #stayhome #thankyou #coronavirus #delhipolice… https://t.co/VjN2k0qAru",[],"['#OyeDelhi', '#gurgaon', '#noida', '#delhincr', '#india', '#corona', '#coronawarriors', '#instagram', '#stayhome', '#thankyou', '#coronavirus', '#delhipolice']",traveling times global pandemic curse blessing,46
"“No act of kindness, no matter how small, is ever wasted.” 
During this #COVID pandemic, it's important to be kind towards everyone including animals. Offer them food, water and lots of #love to help them survive this #lockdown without going hungry.
#SundayMotivation #IndiaShares https://t.co/6Kj267Ml0S",[],"['#COVID', '#love', '#lockdown', '#SundayMotivation', '#IndiaShares']",act kindness matter small ever wasted pandemic important kind towards everyone including animals offer food water lots help survive without going hungry,152
"#Lockdown to preserve
#lockeddown to conserve
#lockdown to save
#PatnaZoo October 2019
#StayHome #StayHomeStaySafe #saveindia #saveworld #PositiveVibes #positive #life #corona #gocorona 
@ParveenKaswan @SudhaRamenIFS @PrakashJavdekar https://t.co/n1J5GR22oR","['@ParveenKaswan', '@SudhaRamenIFS', '@PrakashJavdekar']","['#Lockdown', '#lockeddown', '#lockdown', '#PatnaZoo', '#StayHome', '#StayHomeStaySafe', '#saveindia', '#saveworld', '#PositiveVibes', '#positive', '#life', '#corona', '#gocorona']",preserve conserve save october,30
"#IndiaFightsCorona:

Be a responsible citizen and do not urinate or spit in public places. Help us to protect you and your family. Together we will fight #COVID19.  

#CoronaOutbreak #SwasthaBharat #HealthForAll #Lockdown3 https://t.co/P9qJ0MUV93",[],"['#IndiaFightsCorona', '#COVID19', '#CoronaOutbreak', '#SwasthaBharat', '#HealthForAll', '#Lockdown3']",responsible citizen urinate spit public places help us protect family together fight,84
"#IndiaFightsCorona #Covid19
Personnel in blue who carry blue hue 
Sons of Soil and worthy always so true 
Born to carry out giant OPERATIONS
 On ground,air &amp; water for ovations 
Here’s a signal to rip off Dis-ease 
Stay Safe-Keep Distance -At Home please 🙏
©️Dr.Anil Kumar Grover https://t.co/yfrhSovV6k",[],"['#IndiaFightsCorona', '#Covid19']",personnel blue carry blue hue sons soil worthy always true born carry giant operations ground air water ovations signal rip dis ease stay safe keep distance home please dr anil kumar grover,189
"@timesofindia @IAF_MCC #IndiaFightsCorona #Covid19
Personnel in blue who carry blue hue 
Sons of Soil and worthy always so true 
Born to carry out giant OPERATIONS
 On ground,air &amp; water for ovations 
Here’s a signal to rip off Dis-ease 
Stay Safe-Keep Distance -At Home please 🙏
©️Dr.Anil Kumar Grover","['@timesofindia', '@IAF_MCC']","['#IndiaFightsCorona', '#Covid19']",personnel blue carry blue hue sons soil worthy always true born carry giant operations ground air water ovations signal rip dis ease stay safe keep distance home please dr anil kumar grover,189
"#EachOneReachOne during #COVID19Lockdown to #feed a #stray everyday ❤ Help compassionate souls feed the hungry ❤❤
Donate. Share. Tag 🙏
https://t.co/6F3mpuMVCp
#KindnessInCrisis #indiafightscorona #dogsduringlockdown #cows
@JohnAbrahamCLUB @pfaindia @SmartSanctuary https://t.co/YXmSPXz1gf","['@JohnAbrahamCLUB', '@pfaindia', '@SmartSanctuary']","['#EachOneReachOne', '#COVID19Lockdown', '#feed', '#stray', '#KindnessInCrisis', '#indiafightscorona', '#dogsduringlockdown', '#cows']",everyday help compassionate souls feed hungry donate share tag,62
My rookie attempt  just scribbled this #Poem on #COVID19 &amp; #Lockdown https://t.co/YBCoHbPf9i,[],"['#Poem', '#COVID19', '#Lockdown']",rookie attempt scribbled,24
"*India Salutes Corona Warriors*

 @indiannavy personnel at INS Hansa, Goa express their appreciation by forming a *Human Chain* and thank the Corona Warriors in their unwavering commitment in #IndiaFightsCorona https://t.co/nW7lRZ3R4Y",['@indiannavy'],['#IndiaFightsCorona'],india salutes corona warriors personnel ins hansa goa express appreciation forming human chain thank corona warriors unwavering commitment,138
Please edit caption - Delhi CORONA* Truth. There's a spelling mistake. @KapilMishra_IND #coronavirusinindia #Delhi #kejriwalexposed https://t.co/y05jcgvumv,['@KapilMishra_IND'],"['#coronavirusinindia', '#Delhi', '#kejriwalexposed']",please edit caption delhi corona truth spelling mistake,55
"Lockdown day 40 update:

-Khi se kuch good news ki umid k sth sth ab virus na hone ki umid kam hai
-We can live without junk food
-office managers k under humanity nhi hai .unhe bus number bnane hai
-harry potter series kitni bar b dekh lo mann nhi bharta 

#lockdown #day40",[],"['#lockdown', '#day40']",lockdown day update khi se kuch good news ki umid k sth sth ab virus na hone ki umid kam hai live without junk food office managers k humanity nhi hai unhe bus number bnane hai harry potter series kitni bar b dekh lo mann nhi bharta,232
"#CoronaWarriorsIndia
Indian Armed Forces to showcase unique way of extending solidarity with #COVIDWarriors.

#IndiaFightsCorona | #CoronaWarriorsIndia #JaiHind #IndianArmy Jai hind 🙏 🇮🇳 https://t.co/eNRDRL46TT",[],"['#CoronaWarriorsIndia', '#COVIDWarriors', '#IndiaFightsCorona', '#CoronaWarriorsIndia', '#JaiHind', '#IndianArmy']",indian armed forces showcase unique way extending solidarity jai hind,69
"Thank you @OfficialGNIDA for manual sanitization of lifts in La Residentia.

Big Salute to the service for society.

#IndiaFightsCorona #GNIDACares #COVIDHeroes #StayHome https://t.co/OyXrZYC2gS",['@OfficialGNIDA'],"['#IndiaFightsCorona', '#GNIDACares', '#COVIDHeroes', '#StayHome']",thank manual sanitization lifts la residentia big salute service society,72
A fitness challenge was given by my friend is completed now 😂😂. Really it was more of fun task in lockdown. #StayHome #StaySafe  #HaveFun https://t.co/CMETmkXMqS,[],"['#StayHome', '#StaySafe', '#HaveFun']",fitness challenge given friend completed really fun task lockdown,65
Sunday breakfast #sundaybreakfast #breakfast #goodmorning #lockdown #StayAtHomeAndStaySafe #StayAtHomeSaveLives #StaySafeStayHome https://t.co/QC0f0oehwe,[],"['#sundaybreakfast', '#breakfast', '#goodmorning', '#lockdown', '#StayAtHomeAndStaySafe', '#StayAtHomeSaveLives', '#StaySafeStayHome']",sunday breakfast,16
"#Lockdown: They have #question.
#TaaliThaliDiya: They have #question.
Now #AarogyaSetu app: They have #question.
Can anyone tell me they are #WithIndiaOrAgainstIndia",[],"['#Lockdown', '#question', '#TaaliThaliDiya', '#question', '#AarogyaSetu', '#question', '#WithIndiaOrAgainstIndia']",app anyone tell,15
"Archive 📸 #runningoutofphotos 
Waiting for things to be normal again 

#delhi #archive #worklife #mitsubishi #mitsubishiindia #life #suited #workmode #waitingforthis #fightingcorona #stayhome #stayhomestaysafe… https://t.co/4uaXELgiNO",[],"['#runningoutofphotos', '#delhi', '#archive', '#worklife', '#mitsubishi', '#mitsubishiindia', '#life', '#suited', '#workmode', '#waitingforthis', '#fightingcorona', '#stayhome', '#stayhomestaysafe']",archive waiting things normal,29
"#WorldPressFreedomDay
Best wishes to all my friends from the Press fraternity on the occasion of #WorldPressFreedomDay 
Keep up this spirit during these difficult times of #IndiaFightsCorona 
#LongliveIndianMedia🙏♥️🎤 https://t.co/qENqW5aU3w",[],"['#WorldPressFreedomDay', '#WorldPressFreedomDay', '#IndiaFightsCorona', '#LongliveIndianMedia']",best wishes friends press fraternity occasion keep spirit difficult times,73
"Has the #Hdfc bank become so poor that even the minimum amount is not showing in the credit card
 statement in the #lockdown
@HDFCBank_Cares",['@HDFCBank_Cares'],"['#Hdfc', '#lockdown']",bank become poor even minimum amount showing credit card statement,66
"@777Gautam @dmgbnagar Dear Mr. Gautam,
Good morning. I agree with your reply but atleast #Noida administration should consider on issues regarding violation of #Lockdown should be addressed without delay otherwise we will have to face #Lockdown4 and so on and that will be unfortunate situation",['@dmgbnagar'],"['#Noida', '#Lockdown', '#Lockdown4']",dear mr gautam good morning agree reply atleast administration consider issues regarding violation addressed without delay otherwise face unfortunate situatio,158
"#SundayThoughts #SundayMotivation  #SundayMorning
#lockdown
A man who views the world the same at fifty As he did at twenty has wasted thirty years of life.

- Mohammad Ali",[],"['#SundayThoughts', '#SundayMotivation', '#SundayMorning', '#lockdown']",man views world fifty twenty wasted thirty years life mohammad,62
"IAF Chopper showers flower petals on the Police War Memorial in New Delhi.

#Delhi #COVID__19 #covid19 #ThankYouWarriors #IndianArmy #indianairforce #IndianNavy #IndianArmedForces #IndiaFightsCorona 
@PMOIndia @IAF_MCC https://t.co/HIRVbVdpNN","['@PMOIndia', '@IAF_MCC']","['#Delhi', '#COVID__19', '#covid19', '#ThankYouWarriors', '#IndianArmy', '#indianairforce', '#IndianNavy', '#IndianArmedForces', '#IndiaFightsCorona']",iaf chopper showers flower petals police war memorial new delhi,63
"""APART FROM #FLYPASTS #GOVERNMENT MUST SHOW SOME SOLIDARITY TOWARDS THE PUBLIC  WHO LOST THEIR JOBS &amp; SALARIES""

-  VIOCE OF MILLIONS OF THE CITIZENS .
@PMOIndia 
@narendramodi 
#Corona 
#lockdown","['@PMOIndia', '@narendramodi']","['#FLYPASTS', '#GOVERNMENT', '#Corona', '#lockdown']",apart must show solidarity towards public lost jobs salaries vioce millions citizens,84
Gratitude to @soumyajitt for creating blessed opportunity every morning for (virtual) darshan of Patitapabana during these difficult times. Such a blissful feeling watching alati of the Lord in Singhadwara of Shree Jagannatha temple; may Mahaprabhu bless! 🙏🏻🙏🏻 Day 40 of #lockdown https://t.co/zmuQz95tcl,['@soumyajitt'],['#lockdown'],gratitude creating blessed opportunity every morning virtual darshan patitapabana difficult times blissful feeling watching alati lord singhadwara shree jagannatha temple may mahaprabhu bless day,195
#IAF helicopter shower flower petals on the #PoliceWarMemorial as a mark of aerial salute to the #CoronaFighters &amp; express gratitude to the police personnel on duty amid pandemic. #ArmedForcesSaluteCoronaWarriors #SwasthaBharat #MoDAgainstCorona #StayHomeIndia #IndiaFightsCorona https://t.co/xVrFUqQLAA,[],"['#IAF', '#PoliceWarMemorial', '#CoronaFighters', '#ArmedForcesSaluteCoronaWarriors', '#SwasthaBharat', '#MoDAgainstCorona', '#StayHomeIndia', '#IndiaFightsCorona']",helicopter shower flower petals mark aerial salute express gratitude police personnel duty amid pandemic,104
"#IndiaFightsCorona:

Be a responsible citizen and do not urinate or spit in public places. Help us to protect you and your family. Together we will fight #COVID19.  

#CoronaOutbreak #SwasthaBharat #HealthForAll #Lockdown3 https://t.co/C2ONlMaDMK",[],"['#IndiaFightsCorona', '#COVID19', '#CoronaOutbreak', '#SwasthaBharat', '#HealthForAll', '#Lockdown3']",responsible citizen urinate spit public places help us protect family together fight,84
"#IndiaSalutesCoronaWarriors
An aerial salute
As a gratitude to all #IndianCoronaWarriors, Indian Armed Forces salute the spirit &amp; determination of these warriors.
#IndiaFightsCorona 
#indianairforce #IndiaFightsCOVID19 #StayHome https://t.co/AeU25cDfFD",[],"['#IndiaSalutesCoronaWarriors', '#IndianCoronaWarriors', '#IndiaFightsCorona', '#indianairforce', '#IndiaFightsCOVID19', '#StayHome']",aerial salute gratitude indian armed forces salute spirit determination warriors,80
"6/21 Declutter. Be it your wardrobe, study table, office desk or even your phone. 

This helps us to feel instantly productive and relaxed. 

#life #productivity #declutter #lockdown",[],"['#life', '#productivity', '#declutter', '#lockdown']",declutter wardrobe study table office desk even phone helps us feel instantly productive relaxed,96
"This pandemic will be over soon.. But what are you guys up to next? Is there any teaching or lessons that we really have to learn? Because from my vision this is the last warning nature is giving us.
 #Stayhome #staysafe",[],"['#Stayhome', '#staysafe']",pandemic soon guys next teaching lessons really learn vision last warning nature giving us,90
"Corona breaks all its records in India 

In last 24 hours 110 new case/hour reported .And on average 3 person died every hour.
#COVID__19 
#coronavirus 
#IndiaFightsCorona https://t.co/6Q7a2opjG9",[],"['#COVID__19', '#coronavirus', '#IndiaFightsCorona']",corona breaks records india last hours new case hour reported average person died every hour,92
"Corn rice with fried onions , tomato and capsicum. 

@Vkare4u is on a roll. #lockdown #lockdown2020 @ Greater Noida https://t.co/XMFXEia0qj",['@Vkare4u'],"['#lockdown', '#lockdown2020']",corn rice fried onions tomato capsicum roll greater noida,57
"@EconomicTimes #COVID19India is here to stay.The route out of lockdown will be neither smooth, nor fast—but the circumstances necessitate the adoption of a localised approach, as opposed to the one which focuses on centralised declaration
https://t.co/ktr3Tp9VYf…
#Lockdown3 #IndiaFightsCorona",['@EconomicTimes'],"['#COVID19India', '#Lockdown3', '#IndiaFightsCorona']",stay route lockdown neither smooth fast circumstances necessitate adoption localised approach opposed one focuses centralised declaration,137
"@swapan55 #COVID19India is here to stay.The route out of lockdown will be neither smooth, nor fast—but the circumstances necessitate the adoption of a localised approach, as opposed to the one which focuses on centralised declaration
https://t.co/ktr3Tp9VYf…
#Lockdown3 #IndiaFightsCorona",['@swapan55'],"['#COVID19India', '#Lockdown3', '#IndiaFightsCorona']",stay route lockdown neither smooth fast circumstances necessitate adoption localised approach opposed one focuses centralised declaration,137
"How to stop Corona to enter in third stage...
#stopcoronavirus #coronavirus #IndiaFightsCorona #FightAgainstCorona #NarendraModi https://t.co/Zagof5Z0Du",[],"['#stopcoronavirus', '#coronavirus', '#IndiaFightsCorona', '#FightAgainstCorona', '#NarendraModi']",stop corona enter third stage,29
"Will create jobs for all migrants in UP : @myogiadityanath @UPGovt
#IndiaFightsCorona #youthagainstcorona https://t.co/jycuzsj9ZA","['@myogiadityanath', '@UPGovt']","['#IndiaFightsCorona', '#youthagainstcorona']",create jobs migrants,20
"@arvindsubraman @IndianExpress #COVID19India is here to stay.The route out of lockdown will be neither smooth, nor fast—but the circumstances necessitate the adoption of a localised approach, as opposed to the one which focuses on centralised declaration
https://t.co/ktr3Tp9VYf…
#Lockdown3 #IndiaFightsCorona","['@arvindsubraman', '@IndianExpress']","['#COVID19India', '#Lockdown3', '#IndiaFightsCorona']",stay route lockdown neither smooth fast circumstances necessitate adoption localised approach opposed one focuses centralised declaration,137
"@centerofright #COVID19India is here to stay.The route out of lockdown will be neither smooth, nor fast—but the circumstances necessitate the adoption of a localised approach, as opposed to the one which focuses on centralised declaration
https://t.co/ktr3Tp9VYf…
#Lockdown3 #IndiaFightsCorona",['@centerofright'],"['#COVID19India', '#Lockdown3', '#IndiaFightsCorona']",stay route lockdown neither smooth fast circumstances necessitate adoption localised approach opposed one focuses centralised declaration,137
"@Swatantra_op #COVID19India is here to stay.The route out of lockdown will be neither smooth, nor fast—but the circumstances necessitate the adoption of a localised approach, as opposed to the one which focuses on centralised declaration. A perspective
https://t.co/ktr3Tp9VYf…
@prasannavishy","['@Swatantra_op', '@prasannavishy']",['#COVID19India'],stay route lockdown neither smooth fast circumstances necessitate adoption localised approach opposed one focuses centralised declaration perspective,149
"Opening of #Paan &amp; #LiquorShop  sply Paan Shops can create extensive spread of #coronavirusinindia because of spitting by public after eating tobacco Paan.
Spitting can't be controlled by just imposing fine. @ArvindKejriwal @PMOIndia","['@ArvindKejriwal', '@PMOIndia']","['#Paan', '#LiquorShop', '#coronavirusinindia']",opening sply paan shops create extensive spread spitting public eating tobacco paan spitting controlled imposing fine,117
You cannot make progress without making decisions. #sundayvibes #StayHome,[],"['#sundayvibes', '#StayHome']",cannot make progress without making decisions,45
"#IndiaFightsCorona:

#COVID19 does not even spare alcoholics. 

So, bust this myth and stop consuming alcohol to safeguard yourself from #Coronavirus. 

Better be at home and take precautionary measures to fight against #CoronavirusPandemic.  

#StayHome #StaySafe https://t.co/ekkbOlygBj",[],"['#IndiaFightsCorona', '#COVID19', '#Coronavirus', '#CoronavirusPandemic', '#StayHome', '#StaySafe']",even spare alcoholics bust myth stop consuming alcohol safeguard better home take precautionary measures fight,110
"#Lockdown Chronicles Day 39!
Spot the Tiger in this image! Can you? Let us know in the comments section! This is one of my all time favourite photographs. Aren't our lives in lockdown like this hidden tiger? #tiger #photography #Panna #travelblogger #quiz #spotthetiger #travel https://t.co/Knboz0Rk1F",[],"['#Lockdown', '#tiger', '#photography', '#Panna', '#travelblogger', '#quiz', '#spotthetiger', '#travel']",chronicles day spot tiger image let us know comments section one time favourite photographs lives lockdown like hidden tiger,124
"Day 42

Overcast!! 

#lockdown https://t.co/V0H8r8DgJG",[],['#lockdown'],day overcast,12
"It's sunday today. #reminder

#coronavirusinindia #lockdownindia #LOCKDOWN2020 #Lockdownextention  #lockdowneffect #housearrest https://t.co/pKthvKsL5U",[],"['#reminder', '#coronavirusinindia', '#lockdownindia', '#LOCKDOWN2020', '#Lockdownextention', '#lockdowneffect', '#housearrest']",sunday today,12
"“BE STRONG THAN YOUR STRONGEST EXCUSE”

Everyone is struggling with self  isolation. Here’s a to do list . Be happy &amp; strong!

#sundayvibes #Stayhome #BeSafe #SundayMotivation #selfcare #COVID__19 #Lockdown3 #stressrelief 
@blessingmanifesting https://t.co/4tKUlqhzHw",['@blessingmanifesting'],"['#sundayvibes', '#Stayhome', '#BeSafe', '#SundayMotivation', '#selfcare', '#COVID__19', '#Lockdown3', '#stressrelief']",strong strongest excuse everyone struggling self isolation list happy strong,76
King protects his castle - your body is yr castle ! #StayHome #COVID19India @Poojaspillai @IndianNavy99 @YOGUSHETTY @Really_Hindu @Harbir02 @HarbirSinghSuri @activator_n @lana_salome @shaileshrao @TheDeepak2020 @i_Harishh @Rintik2 @rio10314 @Nenagh9 @IndiatvRishi @PraveenaRai4 https://t.co/Ki8LldXlEQ,"['@Poojaspillai', '@IndianNavy99', '@YOGUSHETTY', '@Really_Hindu', '@Harbir02', '@HarbirSinghSuri', '@activator_n', '@lana_salome', '@shaileshrao', '@TheDeepak2020', '@i_Harishh', '@Rintik2', '@rio10314', '@Nenagh9', '@IndiatvRishi', '@PraveenaRai4']","['#StayHome', '#COVID19India']",king protects castle body yr castle,35
"We are esteemed Training Partner (G K Foundation) empanelled with UP Skill Development Mission (UPSDM) 
@CMOfficeUP 
@UPSDMOfficial #StayhomeStaysafe #Indiafightscorona #Waragainstcorona https://t.co/k19pqQuVF3","['@CMOfficeUP', '@UPSDMOfficial']","['#StayhomeStaysafe', '#Indiafightscorona', '#Waragainstcorona']",esteemed training partner g k foundation empanelled skill development mission upsdm,83
"We are esteemed Training Partner *
(Eupraxis Expert Systems Consulting Pvt. Ltd.) empanelled with UP Skill Development Mission (UPSDM) 
@CMOfficeUP
@UPSDMOfficial #StayhomeStaysafe #Indiafightscorona #Waragainstcorona https://t.co/wr7H1ppPsO","['@CMOfficeUP', '@UPSDMOfficial']","['#StayhomeStaysafe', '#Indiafightscorona', '#Waragainstcorona']",esteemed training partner eupraxis expert systems consulting pvt ltd empanelled skill development mission upsdm,111
"The last time that I lifted colours to paint was 19 years ago.
#covid19pandemic has left us all with #lockdown blues. So why not heal our minds by being back to our creative selves?
This is how I am #healing myself.… https://t.co/rh3de9BzmY",[],"['#covid19pandemic', '#lockdown', '#healing']",last time lifted colours paint years ago left us blues heal minds back creative selves,86
"#EachOneReachOne during #lockdown to #feed a #stray everyday ❤
Would you all please share, tag, save 🙏
Help compassionate souls feed more hungry souls ❤❤
https://t.co/6F3mpuMVCp
#PFAGBN #thedogmother #KindnessInCrisis  #indiafightscorona
@TandonRaveena @JohnAbrahamCLUB https://t.co/GHtNi2f2n1","['@TandonRaveena', '@JohnAbrahamCLUB']","['#EachOneReachOne', '#lockdown', '#feed', '#stray', '#PFAGBN', '#thedogmother', '#KindnessInCrisis', '#indiafightscorona']",everyday would please share tag save help compassionate souls feed hungry souls,79
"#IndiaFightsCorona
Smart cities deploy tech against COVID-19 https://t.co/zNrN6w0tBG",[],['#IndiaFightsCorona'],smart cities deploy tech covid,30
"#IndiaFightsCorona
Renewed academic calendar https://t.co/p1OPQfpWvl",[],['#IndiaFightsCorona'],renewed academic calendar,25
"#IndiaFightsCorona
Activities not allowed in red and orange zones https://t.co/dsDZhEaddf",[],['#IndiaFightsCorona'],activities allowed red orange zones,35
"#IndiaFightsCorona
Activities not permitted in any zones https://t.co/oTORRAdTMA",[],['#IndiaFightsCorona'],activities permitted zones,26
"#IndiaFightsCorona
Activities allowed in red and orange zones https://t.co/G7w7XjUA1Y",[],['#IndiaFightsCorona'],activities allowed red orange zones,35
"#IndiaFightsCorona
Activities allowed in red and orange zones https://t.co/LqQBJlptRU",[],['#IndiaFightsCorona'],activities allowed red orange zones,35
"#IndiaFightsCorona
Activities allowed in red zones https://t.co/eyjosLtfp6",[],['#IndiaFightsCorona'],activities allowed red zones,28
"Let's see who surrenders first!
#lockdown vs #Economy.
In the both cases 
it'sUS who are going to be the loser.",[],"['#lockdown', '#Economy']",let see surrenders first vs cases sus going loser,49
"This #Lockdown has made everyone a chef,

One Punjabi guy from my society today was telling me how he tried making poha and was sharing the recipe he learnt online, 
And I looked at him and smiled. He was telling a Maharashtrian how to make poha :)",[],['#Lockdown'],made everyone chef one punjabi guy society today telling tried making poha sharing recipe learnt online looked smiled telling maharashtrian make poha,149
I have started liking this #WorkFromHome thing. No bullshit while working.,[],['#WorkFromHome'],started liking thing bullshit working,37
"@haryanagovt amidst lockdown 
#lockdownindia #CoronaLockdown #Covid_19 #IndiaFightsCorona #2020 https://t.co/5HjUyUR6dm",['@haryanagovt'],"['#lockdownindia', '#CoronaLockdown', '#Covid_19', '#IndiaFightsCorona']",amidst lockdown,15
"And then comes this notification from @UberINSupport
It's not the first time but it never felt so good before.
Tiny steps towards a 'Normal World' ❤️
Thanks @Uber 🙏
#uber #lockdown #Covid_19india #IndiaFightsCoronavirus https://t.co/q8TuFJsrg7","['@UberINSupport', '@Uber']","['#uber', '#lockdown', '#Covid_19india', '#IndiaFightsCoronavirus']",comes notification first time never felt good tiny steps towards normal world thanks,84
"Angry skies over #Gurgaon: flashes of lightning, thunder, gale-force dust storm... clearly, Nature is unhappy that the #lockdown is being relaxed. #StayHome please.",[],"['#Gurgaon', '#lockdown', '#StayHome']",angry skies flashes lightning thunder gale force dust storm clearly nature unhappy relaxed please,97
"@DEEPAKKAHUJA @ceoharyana @DC_Gurugram @AmitKhatriIAS @rpcwa @ramprastha_city @cmohry @mlkhattar @MinOfPower @PMOIndia @CPCB_OFFICIAL @ramanmalik @PowerHaryana @DC_Gurugram @Dist_Admin_Ggm @PowerHaryana pls help us to install power in sector 56 #Gurgaon 

Frequent power outage killing us.
#CoronaWarriors #lockdown 
@narendramodi @PMOIndia @RajKSinghIndia @sudhirsinglabjp @cmohry 

Power outage in sector 56 #Gurgaon 
#COVID19","['@DEEPAKKAHUJA', '@ceoharyana', '@DC_Gurugram', '@AmitKhatriIAS', '@rpcwa', '@ramprastha_city', '@cmohry', '@mlkhattar', '@MinOfPower', '@PMOIndia', '@CPCB_OFFICIAL', '@ramanmalik', '@PowerHaryana', '@DC_Gurugram', '@Dist_Admin_Ggm', '@PowerHaryana', '@narendramodi', '@PMOIndia', '@RajKSinghIndia', '@sudhirsinglabjp', '@cmohry']","['#Gurgaon', '#CoronaWarriors', '#lockdown', '#Gurgaon', '#COVID19']",pls help us install power sector frequent power outage killing us power outage sector,85
Photography live in Jaipur #photoshop #Likee #lockdown #NewDelhi #newphoto #loveyou300khaotungg #GooglePlay #رمضان_مبارك #PhotosOfMyLife #jobsearch #facebookmarketing #Instagram #TweetYourSeat #YouTube #gauravbboy #3MusicAwards20 #boypic #boystory https://t.co/vXrx1595oP,[],"['#photoshop', '#Likee', '#lockdown', '#NewDelhi', '#newphoto', '#loveyou300khaotungg', '#GooglePlay', '#PhotosOfMyLife', '#jobsearch', '#facebookmarketing', '#Instagram', '#TweetYourSeat', '#YouTube', '#gauravbboy', '#boypic', '#boystory']",photography live jaipur,23
"Thank you🙏 for saving our life by putting your life at risk.
Appreciate from heart🥰
@narendramodi 
@PMOIndia
@akshaykumar 
#DilSeThankYou
#CoronaWarriors
#StayHomeStaySafe
#StopViolenceAgainstDoctors
#OurHeroes
#IndiaFightsCorona
#SaluteOurCoronaWarriors
#JaiHindJaiBharat https://t.co/NoZlOmzmQa","['@narendramodi', '@PMOIndia', '@akshaykumar']","['#DilSeThankYou', '#CoronaWarriors', '#StayHomeStaySafe', '#StopViolenceAgainstDoctors', '#OurHeroes', '#IndiaFightsCorona', '#SaluteOurCoronaWarriors', '#JaiHindJaiBharat']",thank saving life putting life risk appreciate heart,52
"@rsprasad An #IndianNavy chopper showered rose petals over health workers, especially frontline staff at #Goa Medical College, as part of a nationwide drive by the country's armed forces to show solidarity with the #Covid19 medical staff.

#CoronaWarriors #IndiaFightsCorona @indiannavy https://t.co/DVKLcwysnk","['@rsprasad', '@indiannavy']","['#IndianNavy', '#Goa', '#Covid19', '#CoronaWarriors', '#IndiaFightsCorona']",chopper showered rose petals health workers especially frontline staff medical college part nationwide drive country armed forces show solidarity medical staff,159
"Missing college days and friends, when could go to station anytime to eat Poori Aloo Sabzi...what to do in #Lockdown - just cook at home with @ranveerbrar!! Thank you Chef!! Railway Wali Aloo Ki Sabji.  https://t.co/42waxl34ne via @YouTube https://t.co/NsMAf9AF7K","['@ranveerbrar', '@YouTube']",['#Lockdown'],missing college days friends could go station anytime eat poori aloo sabzi cook home thank chef railway wali aloo ki sabji via,126
"#IndiaFightsCorona
In Orange Zones, inter-district movement of individuals and vehicles will be allowed for permitted activities only. Four-wheelers will have a maximum of 2 passengers besides the driver and pillion riding will be allowed on two-wheelers.
via NaMo App",[],['#IndiaFightsCorona'],orange zones inter district movement individuals vehicles allowed permitted activities four wheelers maximum passengers besides driver pillion riding allowed two wheelers,170
